ID,N,E,C,
52,kiosk,shop,en kiosk - kiosken  - kiosker  - kioskene,
53,kirke,church,en/ei kirke - kirken (kirka) - kirker - kirkene,
54,kjøpesenter,mall,et senter - senteret - senter (sentre) - sentrene (sentra),
55,kjøretøy,vehicle,et kjøretøy - kjøretøyet - kjøretøyer (kjøretøy) - kjøretøyene (kjøretøya),
56,kø ,queue,en kø - køen - køer - køene,
57,kontor,office,et kontor - kontoret - kontorer (kontor) - kontorene (kontora),et miljø - miljøet - miljøer (miljø) - miljøene (miljøa)
58,kortleser,card terminal,en kortleser - kortleseren - kortlesere - kortleserne,
59,kunst,art,en kunst - kunsten - kunster - kunstene,
60,landsby,village,en landsby - landsbyen - landsbyer - landsbyene,
61,landskap,landscape,et landskap - landskapet - landskaper (landskap) - landskapene (landskapa),
62,lanterne,lantern, en/ei lanterne - lanternen (lanterna) - lanterner - lanternene,
63,legevakt,emergency room,en/ei legevakt - legevakten (legevakta) - legevakter - legevaktene,
64,leilighet,flat,en/ei leilighet - leiligheten (leiligheta) - leiligheter - leilighetene,
65,lufthavn,airport,en/ei lufthavn - lufthavnen (lufthavna) - lufthavner - lufthavnene,
66,lugar,cabin,en lugar - lugaren - lugarer - lugarene,
67,menneskemengde,crowd,en menneskemengde - menneskemengden - menneskemengder - menneskemengdene,
68,merke,"mark, sign",et merke - merket - merker - merkene (merka),
69,miljø,"environment, setting",,
70,mobb,mob,en mobb - mobben - mobber - mobbene,
71,museum,museum,et museum - museet - museer - museene (musea),
72,musikk,music,en musikk - musikken - musikker  - musikkene,
73,område,territory; region; area,et område - området - områder -områdene (områda),
74,opera,opera,en opera - operaen - operaer - operaene,
75,park,park,en park - parken  - parker - parkene,
76,perrong,platform,en perrong - perrongen - perronger - perrongene,
77,plass,"square, place",en plass - plassen - plasser - plassene,
78,politi,police,en politi - politien - politier - politiene,
79,rådhus,town hall,et rådhus - rådhuset - rådhus - rådhusene (rådhusa),
80,regning,bill,en/ei regning - regningen (regninga) -  regninger - regningene,
81,restaurant,restaurant,en restaurant - restauranten - restauranter - restaurantene,
82,rundkjøring,roundabout,en/ei rundkjøring - rundkjøringen (rundkjøringa) - rundkjøringer - rundkjøringene,
83,sal,hall,en sal - salen - saler - salene,
84,samfunn,society,et samfunn - samfunnet - samfunn - samfunnene (samfunna),
85,sirkus,circus,et sirkus - sirkuset - sirkuser (sirkus) - sirkusene (sirkusa),
86,skatt,tax,en skatt - skatten - skatter - skattene,
87,skole,school,en skole - skolen - skoler - skolene,
88,slott,palace,et slott - slottet - slott - slottene (slotta),
89,søppel,litter,"en/ei/et søppel - søppelen (søpla, søppelet) - søpler (søppel) - søplene (søpla)",
90,spor,track,et spor - sporet - spor - sporene - spora,
91,stadion,stadium,et stadion - stadionet - stadioner (stadion) - stadionene (stadiona),
92,stasjon,station,en stasjon - stasjonen - stasjoner - stasjonene,
93,sted,town,et sted - stedet -  steder - stedene,
94,storting,parliament,et storting - stortinget - storting - stortingene (stortinga),
95,strømbrudd,power failure,et strømbrudd - strømbruddet - strømbrudd (strømbrudda) - strømbruddene,
96,supermarked,supermarket,et supermarked  - supermarkedet - supermarkeder (supermarked) - supermarkedene (supermarkeda),
97,svømmebasseng,swimming pool,et svømmebasseng - svømmebassenget - svømmebassenger (svømmebasseng) - svømmebassengene (svømmebassenga),
98,sykehus,hospital,et sykehus - sykehuset - sykehus - sykehusene (sykehusa),
99,sykkel,bicycle,en sykkel - sykkelen - sykler - syklene,
100,tårn,tower,et tårn - tårnet - tårn - tårnene (tårna),
101,T-bane,metro,en bane - banen - baner - banene,
102,teater,theatre,et teater - teateret (teatret) - teater (teatre) - teatrene (teatra),
103,tilfluktsrom,air‑raid shelter,et tilfluktsrom - tilfluktsrommet - tilfluktsrom - tilfluktsrommene (tilfluktsromma),
104,tog,train,et tog - toget - tog - togene (toga),
105,trafikk,traffic, en trafikk - trafikken  - trafikker - trafikkene,
106,trafikkork,traffic jam ,en trafikkork - trafikkorken -trafikkorker - trafikkorkene,
107,transportmiddel,means of transport,et transportmiddel - transportmidlet (transportmiddelet) - transportmidler (transportmiddel) - transportmidlene (transportmidla),
108,tre,tree,et tre - treet - trær (tre) - trærne (trea),
109,trikk,tram,en trikk - trikken - trikker - trikkene,
110,tunnel,tunnel,en tunnel - tunnelen - tunneler - tunnelene,
111,universitet,university,et universitet - universitetet - universiteter (universitet) - universitetene (universiteta),
112,urne,urn, en/ei urne - urnen (urna) - urner - urnene,
113,utkjørsel,exit (road),en/ei utkjørsel - utkjørselen (utkjørsla) - utkjørsler - utkjørslene,
114,vei,road,en vei - veien - veier - veiene,
