ID,N,E,C
28,gjemsel,hiding-place,et gjemsel - gjemslet - gjemsler (gjemsel) - gjemslene (gjemsla)
29,gjengjeld,"return, repayment",en/ei gjengjeld - gjengjelden (gjengjelda) - gjengjelder - gjengjeldene
30,glo,light; ember,en/ei glo - gloen (gloa) - glør - glørne
31,grøft,ditch,en/ei grøft - grøften (grøfta) - grøfter - grøftene
32,grunn,reason, en grunn - grunnen - grunner - grunnene
33,haug,hill,en haug - haugen - hauger - haugene
34,henrettelse,execution,en henrettelse - henrettelsen - henrettelser - henrettelsene
35,hjørne,corner,et hjørne - hjørnet - hjørner - hjørnene (hjørna)
36,høytid,celebration,en/ei høytid - høytiden (høytida) - høytider - høytidene
37,idrett,"athletics, sport",en idrett - idretten - idretter - idrettene
38,innlegg,"enclosure, attachment",et innlegg - innlegget - innlegg - innleggene (innlegga)
39,innpass,entry,et innpass - innpasset - innpass - innpassene (innpassa)
40,innsats,contribution; effort,en innsats - innsatsen - innsatser - innsatsene
41,kant,edge,en kant - kanten - kanter - kantene
42,kapittel,chapter,et kapittel - kapittelet (kapitlet) -  kapitler (kapittel) - kapitlene (kapitla)
43,knapp,button,en knapp - knappen - knapper - knappene
44,krav,demand,et krav - kravet - krav - kravene
45,krets,circle,en krets - kretsen - kretser - kretsene
46,krøll,curl,en krøll - krøllen - krøller - krøllene
47,kule,bullet,en/ei kule - kulen (kula) - kuler - kulene
48,kupp,bargain,et kupp - kuppet - kupp - kuppene (kuppa)
49,kvadrat,square,et kvadrat - kvadratet - kvadrater (kvadrat) - kvadratene (kvadrata)
50,lag,layer,et lag - laget - lag - lagene (laga)
51,lån,loan,en/ei lån - lånen (låna) - låner - lånene
52,lapp,"patch, scrap",en lapp - lappen - lapper - lappene
53,lei,direction,en/ei lei - leien (leia) - leier - leiene
54,leveranse,delivery; supply,en leveranse - leveransen - leveranser - leveransene
55,levning,remnant,en levning - levningen - levninger - levningene
56,likhet,resemblance, en/ei likhet - likheten (likheta) - likheter - likhetene
57,lønnspåleg,pay increase,
58,lott,portion,en lott - lotten - lotter - lottene
59,lyd,noise, en lyd - lyden - lyder (lyd) - lydene
60,lys,light,et lys - lyset - lys - lysene (lysa)
61,makt,force; strength,en/ei makt - makten (makta) - makter - maktene
62,mål,measure; speech,et mål - målet - mål - målene (måla)
63,målsted,destination,
64,mangel,shortage; deficiency,en mangel - mangelen - mangler - manglene
65,måte,"way, manner",en måte - måten - måter - måtene
66,melding,report,en/ei melding - meldingen (meldinga) - meldinger - meldingene
67,mengde,"quantity, amount",en mengde - mengden - mengder - mengdene
68,mening,opinion,en/ei mening - meningen (meninga) - meninger - meningene
69,mesterskap,championship,et mesterskap - mesterskapet - mesterskaper (mesterskap) - mesterskapene (mesterskapa)
70,middel,means  ,en middel - middelen - midler - midlene
71,mønster,design; pattern,et mønster - mønsteret (mønstret) - mønster (mønstre) - mønstrene (mønstra)
72,offentlighet,publicity,en/ei offentlighet - offentligheten (offentligheta) - offentligheter - offentlighetene
73,omstendighet,circumstance,en/ei omstendighet - omstendigheten (omstendigheta) - omstendigheter - omstendighetene
74,oppbevaring,storage,en/ei oppbevaring - oppbevaringen (oppbevaringa) - oppbevaringer - oppbevaringene
75,oppdrag,task,et oppdrag - oppdraget - oppdrag - oppdragene (oppdraga)
76,oppgave,"statement, task, job",en/ei oppgave - oppgaven (oppgava) - oppgaver - oppgavene
77,opprettholdelse,maintenance,
78,oppsigelse,notice,en oppsigelse - oppsigelsen - oppsigelser - oppsigelsene
79,ordbok,dictionary,en/ei ordbok - ordboken (ordboka) - ordbøker - ordbøkene
80,poeng,point; score,et poeng - poenget - poenger (poeng) - poengene (poenga)
81,problem,problem,et problem - problemet - problemer (problem) - problemene (problema)
82,pynt,decoration, en pynt - pynten - pynter - pyntene
83,rabatt,discount,en rabatt - rabatten - rabatter - rabattene
84,råd,advice,en/ei/et råd - råden (råda
85,risiko,risk,en risiko - risikoen - risikoer - risikoene
86,ro,peacefulness,en/ei ro - roen (roa) - roer - roene
87,rot,mess; muddle; disorder,en/ei rot - roten (rota) - røtter - røttene
88,sak,case,en/ei sak - saken (saka) - saker - sakene
89,sett,set,et sett - settet - sett - settene (setta)
90,sirkel,circle,en sirkel - sirkelen - sirkler - sirklene
91,sjanse,chance,en sjanse - sjansen - sjanser - sjansene
92,skap,shape,et skap - skapet - skap - skapene (skapa)
93,skisse,sketch,en/ei skisse - skissen (skissa) - skisser - skissene
94,skive,piece,en/ei skive -  skiven (skiva) -  skiver -  skivene
95,skrent,steep slope,en skrent - skrenten - skrenter - skrentene
96,skritt,step,et skritt - skrittet - skritt - skrittene (skritta)
97,skru,spin; twist,en skru - skruen - skruer - skruene
98,skygge,shadow,en skygge - skyggen - skygger - skyggene
99,slags,sort,
100,søk,search,et søk - søket - søk - søkene (søka)
101,spenning,tension,en/ei spenning - spenningen (spenninga) - spenninger - spenningene
102,stakk,stack; rick,en stakk - stakken - stakker - stakkene
103,steg,step,et steg - steget - steg - stegene (stega)
104,stemming,tuning,
105,stikkord,key word,et stikkord - stikkordet - stikkord - stikkordene (stikkorda)
106,stund,"while, moment",en/ei stund - stunden (stunda) - stunder - stundene
107,stykke,piece; distance,et stykke - stykket - stykker - stykkene (stykka)
108,tegning,"drawing, sketching",en/ei tegning - tegningen (tegninga) - tegninger - tegningene
109,tillatelse,permission,en tillatelse - tillatelsen - tillatelser - tillatelsene
110,tillegg,addition,et tillegg -  tillegget -  tillegg -  tilleggene (tillegga)
111,tilstand,condition,en tilstand - tilstanden - tilstander - tilstandene
112,titt,glance,en titt - titten - titter - tittene
113,tjeneste,service,en tjeneste - tjenesten - tjenester - tjenestene
114,tolking,interpretation,en/ei tolkning - tolkningen (tolkninga) - tolkninger - tolkningene
115,tøv,nonsense; rubbish,et tøv - tøvet - tøv - tøvene (tøva)
116,trekant,triangle, en trekant -  trekanten - trekanter - trekantene
117,tull og tøys,nonsense,
118,tvang,"compulsion, force",en tvang - tvangen - tvanger - tvangene
119,unntakstilstand,state of emergency,en unntakstilstand - unntakstilstanden - unntakstilstander - unntakstilstandene
120,utbytte,"profit, proceeds",et utbytte - utbyttet - utbytter - utbyttene (utbytta)
121,utgift,"expense, outlay",en/ei utgift - utgiften (utgifta) -  utgifter - utgiftene
122,utsikt,view,en utsikt - utsikten - utsikter - utsiktene
123,utstyr,equipment, et utstyr - utstyret - utstyr - utstyrene (utstyra)
124,valg,choice,et valg - valget - valg - valgene (valga)
125,våpen,weapon,et våpen - våpenet - våpen - våpnene (våpna)
126,vedlikehold,maintenance,et vedlikehold - vedlikeholdet - vedlikehold - vedlikeholdene (vedlikeholda)
127,vers,verse,et vers - verset - vers - versene (versa)
128,vurdering,estimation,"en/ei vurdering - vurderingen (vurderinga) - vurderinger - vurderingene
"
